person_age,person_income,person_emp_length,person_home_ownership,loan_grade,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,cb_person_default_on_file
23,97000,7,RENT,B,VENTURE,30000,10.65,1,0.31,2,N
25,120000,9,RENT,A,EDUCATION,30000,7.9,0,0.25,4,N
26,280000,4,RENT,C,PERSONAL,10000,15.96,0,0.04,3,Y
26,277104,0,RENT,B,VENTURE,20000,11.48,0,0.07,3,N
23,277000,3,OWN,A,PERSONAL,35000,,0,0.13,4,N
25,128000,9,RENT,A,PERSONAL,30000,7.29,0,0.23,4,N
24,12000,2,OWN,E,VENTURE,1750,,0,0.15,3,Y
21,131000,0,RENT,A,VENTURE,30000,5.99,0,0.23,4,N
22,275000,6,OWN,B,VENTURE,12000,11.58,0,0.04,2,N
26,263000,0,MORTGAGE,B,EDUCATION,10000,,1,0.04,4,N
25,221850,9,MORTGAGE,D,MEDICAL,25000,15.7,1,0.1,2,N
22,70000,6,RENT,D,EDUCATION,29100,15.99,1,0.42,3,N
22,12000,7,MORTGAGE,D,EDUCATION,1500,14.84,0,0.13,3,Y
26,260000,10,OWN,B,HOMEIMPROVEMENT,28000,10.99,0,0.11,3,N
25,259000,9,MORTGAGE,D,HOMEIMPROVEMENT,20000,14.42,0,0.08,2,Y
24,255000,9,MORTGAGE,A,EDUCATION,9600,6.99,0,0.04,2,N
25,250000,2,RENT,C,MEDICAL,25000,13.49,0,0.1,4,N
25,12000,0,OWN,C,MEDICAL,3000,,1,0.25,3,N
22,56950,6,RENT,A,MEDICAL,28000,,1,0.49,2,N
21,12000,6,OWN,C,EDUCATION,3000,13.61,1,0.25,3,Y
23,65000,2,RENT,A,EDUCATION,28000,7.9,1,0.43,2,N
26,85000,2,RENT,A,VENTURE,28000,7.49,1,0.33,3,N
26,12000,2,OWN,A,EDUCATION,6100,7.51,1,0.51,3,N
22,88000,6,RENT,B,VENTURE,28000,9.91,1,0.32,3,N
21,12000,0,OWN,C,PERSONAL,4200,13.48,1,0.35,4,Y
22,12000,6,OWN,A,DEBTCONSOLIDATION,4750,7.14,1,0.4,2,N
24,83004,0,RENT,D,VENTURE,28000,15.99,1,0.34,4,Y
24,250000,2,RENT,C,EDUCATION,18000,12.98,0,0.07,3,Y
144,250000,4,RENT,C,VENTURE,4800,13.57,0,0.02,3,N
25,100000,5,RENT,B,DEBTCONSOLIDATION,28000,12.69,0,0.28,3,N
26,110000,10,RENT,A,EDUCATION,28000,8.9,0,0.25,2,N
26,12000,0,OWN,A,DEBTCONSOLIDATION,2700,,1,0.23,4,N
22,108000,6,RENT,B,EDUCATION,28000,,1,0.26,4,N
23,151200,7,RENT,B,DEBTCONSOLIDATION,28000,11.11,0,0.19,2,N
24,69000,2,RENT,A,HOMEIMPROVEMENT,27600,,1,0.4,2,N
21,12000,5,MORTGAGE,E,DEBTCONSOLIDATION,3250,15.68,1,0.27,3,Y
22,70000,4,RENT,C,EDUCATION,27500,13.06,1,0.39,3,Y
22,240000,6,OWN,B,PERSONAL,25000,,0,0.1,2,N
26,73200,5,RENT,D,VENTURE,27050,15.62,1,0.37,2,Y
24,83000,5,RENT,C,PERSONAL,27000,13.49,1,0.33,2,Y
24,73399,0,RENT,D,VENTURE,27000,,1,0.37,3,N
23,62500,7,RENT,B,MEDICAL,26000,11.71,1,0.42,2,N
23,120000,1,RENT,B,EDUCATION,25600,12.69,0,0.21,3,N
24,12360,2,OWN,C,MEDICAL,1600,13.57,0,0.13,3,N
22,60000,0,RENT,B,VENTURE,25475,10.99,1,0.42,3,N
25,234000,3,MORTGAGE,C,MEDICAL,20000,14.27,0,0.09,4,Y
24,234000,8,OWN,B,HOMEIMPROVEMENT,20000,8.88,0,0.09,4,N
26,234000,10,MORTGAGE,B,HOMEIMPROVEMENT,21600,12.18,0,0.09,3,N
25,221004,6,MORTGAGE,D,DEBTCONSOLIDATION,11900,14.42,1,0.05,3,Y
26,232500,0,MORTGAGE,C,MEDICAL,25000,14.17,0,0.11,2,Y
25,230000,5,MORTGAGE,C,MEDICAL,35000,13.99,0,0.15,4,N
23,83000,7,RENT,B,EDUCATION,25300,10.99,1,0.3,3,N
22,12600,,MORTGAGE,A,PERSONAL,2000,5.42,1,0.16,4,N
25,12600,3,OWN,C,PERSONAL,1750,13.61,0,0.14,3,N
21,42500,3,RENT,C,EDUCATION,25000,12.73,1,0.59,3,Y
24,41000,2,RENT,D,HOMEIMPROVEMENT,25000,,1,0.61,3,N
25,12816,0,OWN,C,DEBTCONSOLIDATION,3000,12.87,1,0.23,4,Y
24,12960,1,MORTGAGE,B,HOMEIMPROVEMENT,3650,9.91,1,0.28,3,N
26,226000,4,MORTGAGE,B,HOMEIMPROVEMENT,20000,11.49,0,0.09,4,N
25,225000,0,MORTGAGE,E,HOMEIMPROVEMENT,30000,19.91,0,0.13,2,Y
26,213000,6,MORTGAGE,B,EDUCATION,35000,10.65,1,0.16,2,N
24,225000,0,RENT,B,MEDICAL,6000,,0,0.03,4,N
24,12960,0,MORTGAGE,B,DEBTCONSOLIDATION,4500,11.83,1,0.35,4,N
23,12996,0,OWN,C,DEBTCONSOLIDATION,2400,13.49,1,0.18,2,Y
22,42000,6,RENT,D,MEDICAL,25000,14.59,1,0.6,2,Y
26,48000,2,RENT,B,EDUCATION,25000,9.64,1,0.52,4,N
25,12996,1,OWN,D,MEDICAL,3600,14.59,1,0.28,3,N
22,12996,1,OWN,B,EDUCATION,4750,,1,0.37,3,N
25,42360,1,RENT,E,EDUCATION,25000,16.35,1,0.59,3,Y
21,49000,4,RENT,B,EDUCATION,25000,10.99,1,0.51,2,N
25,225000,0,MORTGAGE,F,VENTURE,25000,18.67,0,0.11,2,N
26,225000,1,RENT,A,EDUCATION,3000,9.32,0,0.01,4,N
23,225000,8,RENT,A,DEBTCONSOLIDATION,7500,8.63,0,0.03,2,N
26,225000,2,MORTGAGE,B,VENTURE,25000,10.08,0,0.11,2,N
22,49464,5,RENT,B,PERSONAL,25000,11.83,1,0.51,3,N
23,50000,1,RENT,A,DEBTCONSOLIDATION,25000,7.9,1,0.5,3,N
25,50000,4,RENT,A,HOMEIMPROVEMENT,25000,5.99,1,0.5,2,N
24,44000,2,RENT,D,DEBTCONSOLIDATION,25000,15.33,1,0.57,2,N
23,50000,1,RENT,B,VENTURE,25000,11.83,1,0.5,4,N
22,50004,0,RENT,B,VENTURE,25000,10.36,1,0.5,2,N
22,50004,3,RENT,C,VENTURE,25000,12.23,1,0.5,3,N
22,52000,2,RENT,B,EDUCATION,25000,11.11,1,0.48,4,N
23,13200,3,OWN,A,DEBTCONSOLIDATION,4950,7.9,1,0.38,4,N
24,220000,1,MORTGAGE,B,EDUCATION,25000,11.58,0,0.11,2,N
23,216000,5,MORTGAGE,A,DEBTCONSOLIDATION,21000,8.9,0,0.1,3,N
25,216000,2,MORTGAGE,D,EDUCATION,25000,16.07,0,0.12,3,N
26,216000,10,MORTGAGE,C,EDUCATION,20000,14.22,0,0.09,2,Y
23,215000,7,MORTGAGE,C,MEDICAL,35000,14.79,0,0.16,3,Y
26,215000,11,MORTGAGE,A,EDUCATION,12000,7.88,0,0.06,2,N
23,52000,1,RENT,C,PERSONAL,25000,13.22,1,0.48,2,N
26,46000,2,RENT,D,DEBTCONSOLIDATION,25000,11.86,1,0.54,4,N
22,53000,5,RENT,C,EDUCATION,25000,13.43,1,0.47,4,Y
26,47000,0,RENT,D,HOMEIMPROVEMENT,25000,15.28,1,0.53,2,Y
23,47000,1,RENT,E,VENTURE,25000,17.93,1,0.53,2,N
23,13200,2,MORTGAGE,B,EDUCATION,1400,9.25,0,0.11,4,N
21,13200,0,OWN,C,VENTURE,4500,12.98,1,0.34,4,N
22,210000,6,MORTGAGE,B,VENTURE,16000,10.62,0,0.08,4,N
26,210000,10,OWN,B,PERSONAL,22000,11.83,0,0.1,4,N
26,48000,5,RENT,F,VENTURE,25000,18.43,1,0.52,2,N
22,54996,6,RENT,B,EDUCATION,25000,,1,0.45,4,N
24,55000,4,RENT,D,HOMEIMPROVEMENT,25000,,1,0.45,4,Y
23,55000,4,RENT,B,EDUCATION,25000,11.36,1,0.45,3,N
23,55000,4,RENT,D,EDUCATION,25000,15.65,1,0.45,3,Y
24,55164,8,RENT,C,PERSONAL,25000,13.22,1,0.45,4,Y
26,56000,4,RENT,C,DEBTCONSOLIDATION,25000,12.87,1,0.45,2,N
24,203500,8,OWN,C,MEDICAL,20000,13.04,0,0.1,3,N
23,190000,5,MORTGAGE,F,EDUCATION,22000,17.58,1,0.12,3,Y
23,13920,2,OWN,E,PERSONAL,7750,17.04,1,0.56,4,N
24,60000,0,RENT,B,PERSONAL,25000,10.99,1,0.42,3,N
24,60000,2,RENT,B,PERSONAL,25000,11.11,1,0.42,3,N
26,54000,7,RENT,D,DEBTCONSOLIDATION,25000,14.83,1,0.46,2,Y
23,14000,2,OWN,D,DEBTCONSOLIDATION,4000,,1,0.29,3,N
24,200000,8,RENT,B,MEDICAL,12000,12.69,0,0.06,2,N
24,200000,8,MORTGAGE,C,HOMEIMPROVEMENT,12000,13.49,0,0.06,2,N
21,200000,5,MORTGAGE,C,EDUCATION,16000,14.65,0,0.08,4,N
25,54000,3,RENT,E,HOMEIMPROVEMENT,25000,16.82,1,0.46,4,N
23,60000,3,RENT,C,PERSONAL,25000,12.73,1,0.42,3,N
23,60000,7,RENT,B,PERSONAL,25000,10.25,1,0.42,4,N
21,60000,6,RENT,B,EDUCATION,25000,10.99,1,0.42,4,N
25,61959,9,RENT,C,MEDICAL,25000,12.73,1,0.4,2,N
22,56400,2,RENT,D,HOMEIMPROVEMENT,25000,14.96,1,0.44,3,Y
23,200000,7,MORTGAGE,A,EDUCATION,28000,,0,0.14,2,N
21,200000,2,MORTGAGE,C,DEBTCONSOLIDATION,25000,13.99,0,0.13,2,N
24,200000,3,MORTGAGE,A,VENTURE,24000,7.49,0,0.12,4,N
26,200000,4,MORTGAGE,C,EDUCATION,15000,14.79,0,0.07,3,N
25,200000,2,MORTGAGE,B,DEBTCONSOLIDATION,15500,11.99,0,0.08,2,N
24,200000,8,RENT,A,EDUCATION,10000,8.49,0,0.05,4,N
24,66000,3,RENT,B,EDUCATION,25000,9.91,1,0.38,2,N
22,66000,6,RENT,C,EDUCATION,25000,13.06,1,0.38,3,Y
22,200000,6,MORTGAGE,A,DEBTCONSOLIDATION,9000,6.17,0,0.04,4,N
144,200000,4,MORTGAGE,B,EDUCATION,6000,11.86,0,0.03,2,N
25,200000,5,RENT,D,EDUCATION,18000,16.32,0,0.09,3,N
25,200000,2,MORTGAGE,B,VENTURE,12000,10.38,0,0.06,2,N
25,200000,9,MORTGAGE,C,PERSONAL,23050,14.35,0,0.12,3,N
24,200000,8,MORTGAGE,B,DEBTCONSOLIDATION,20000,,0,0.1,3,N
24,60000,2,RENT,E,DEBTCONSOLIDATION,25000,,1,0.42,2,Y
21,14400,0,OWN,B,HOMEIMPROVEMENT,3000,,1,0.21,4,N
26,66996,10,RENT,D,PERSONAL,25000,15.21,1,0.37,2,Y
23,67000,3,RENT,A,EDUCATION,25000,7.9,1,0.37,4,N
24,67000,2,RENT,B,VENTURE,25000,10.99,1,0.37,3,N
24,68000,5,RENT,D,PERSONAL,25000,14.09,1,0.37,3,Y
25,69000,9,RENT,D,PERSONAL,25000,17.49,1,0.36,2,N
25,200000,0,MORTGAGE,B,EDUCATION,12000,11.48,0,0.06,3,N
26,188000,10,MORTGAGE,E,VENTURE,20000,17.74,1,0.11,2,N
26,200000,4,MORTGAGE,C,PERSONAL,3000,13.92,0,0.01,3,N
25,69996,9,RENT,D,EDUCATION,25000,15.21,1,0.36,3,N
22,14400,2,OWN,B,MEDICAL,4000,10.99,1,0.28,3,N
24,70000,3,RENT,B,EDUCATION,25000,11.86,1,0.36,4,N
24,14400,5,OWN,A,PERSONAL,6000,7.49,1,0.42,3,N
24,56100,7,RENT,D,MEDICAL,25000,16.49,1,0.38,4,N
25,66000,9,RENT,D,VENTURE,25000,15.33,1,0.38,2,Y
26,66000,3,RENT,B,HOMEIMPROVEMENT,25000,11.58,1,0.38,4,N
25,14400,7,OWN,A,EDUCATION,5375,5.79,1,0.37,2,N
25,72612,9,RENT,C,MEDICAL,25000,13.11,1,0.34,2,N
23,74000,3,RENT,B,MEDICAL,25000,10.36,1,0.34,3,N
25,75000,9,RENT,B,DEBTCONSOLIDATION,25000,10.36,1,0.33,2,N
24,192000,0,RENT,C,MEDICAL,22000,,0,0.11,2,Y
21,192000,123,MORTGAGE,A,VENTURE,20000,6.54,0,0.1,4,N
25,191000,1,MORTGAGE,B,MEDICAL,10000,12.53,0,0.05,4,N
26,190300,5,MORTGAGE,A,PERSONAL,15000,,0,0.08,3,N
22,190000,3,MORTGAGE,C,VENTURE,10000,,0,0.05,3,N
24,75000,4,RENT,B,EDUCATION,25000,10.25,1,0.33,4,N
22,71000,1,RENT,D,EDUCATION,25000,15.95,1,0.35,4,Y
26,190000,3,MORTGAGE,B,VENTURE,20000,12.18,0,0.11,4,N
23,189996,0,OWN,B,PERSONAL,24000,11.83,0,0.13,3,N
23,78000,7,RENT,C,DEBTCONSOLIDATION,25000,,1,0.32,2,Y
23,78000,1,RENT,B,VENTURE,25000,10.62,1,0.32,3,N
23,78504,7,RENT,B,VENTURE,25000,10.74,1,0.32,3,N
25,186000,9,OWN,B,VENTURE,10000,10.25,0,0.05,4,N
24,185000,,MORTGAGE,B,EDUCATION,35000,12.42,0,0.19,2,N
25,185000,6,RENT,C,VENTURE,15000,15.27,0,0.08,2,N
24,62050,8,RENT,D,MEDICAL,25000,15.33,1,0.34,2,Y
23,79416,7,RENT,D,VENTURE,25000,15.21,1,0.31,2,Y
21,14400,4,OWN,C,VENTURE,6250,14.72,1,0.43,2,N
24,79631,8,RENT,D,PERSONAL,25000,15.7,1,0.31,2,Y
24,79632,0,RENT,C,EDUCATION,25000,13.35,1,0.31,4,N
21,14400,0,MORTGAGE,C,MEDICAL,1500,,0,0.1,4,N
24,80000,6,RENT,A,EDUCATION,25000,6.62,1,0.31,2,N
26,80000,5,RENT,C,DEBTCONSOLIDATION,25000,13.61,1,0.31,4,N
22,185000,4,RENT,B,MEDICAL,25000,11.36,0,0.14,2,N
26,185000,10,OWN,A,PERSONAL,5000,7.68,0,0.03,2,N
24,184992,7,RENT,D,HOMEIMPROVEMENT,22000,14.46,0,0.12,4,Y
23,184000,5,OWN,B,EDUCATION,2500,11.83,0,0.01,2,N
24,172000,6,MORTGAGE,C,DEBTCONSOLIDATION,20000,13.47,1,0.12,4,Y
24,183000,2,MORTGAGE,B,MEDICAL,20000,11.49,0,0.11,3,N
22,183000,3,MORTGAGE,A,EDUCATION,1000,,0,0.01,2,N
25,182952,9,MORTGAGE,A,PERSONAL,15000,6.03,0,0.08,3,N
23,74004,7,RENT,E,DEBTCONSOLIDATION,25000,16.35,1,0.34,4,N
26,74004,10,RENT,D,DEBTCONSOLIDATION,25000,,1,0.34,4,Y
25,81000,5,RENT,A,DEBTCONSOLIDATION,25000,7.29,1,0.31,3,N
23,81600,1,RENT,B,MEDICAL,25000,11.36,1,0.31,3,N
24,82000,8,RENT,B,VENTURE,25000,10.25,0,0.3,2,N
24,83000,5,RENT,B,EDUCATION,25000,11.12,0,0.3,3,N
24,83000,5,RENT,D,PERSONAL,25000,12.92,0,0.3,3,Y
24,180000,8,RENT,E,EDUCATION,18000,18.64,0,0.1,4,Y
23,180000,8,MORTGAGE,A,PERSONAL,28000,7.51,0,0.16,3,N
23,14400,2,OWN,E,HOMEIMPROVEMENT,4000,16.7,1,0.28,2,N
22,14400,0,OWN,B,PERSONAL,2100,11.14,0,0.15,4,N
22,84500,6,RENT,F,PERSONAL,25000,18.3,0,0.3,4,N
24,85000,5,RENT,B,MEDICAL,25000,10.62,0,0.29,4,N
24,180000,7,MORTGAGE,B,VENTURE,14000,11.99,0,0.08,2,N
26,180000,2,MORTGAGE,B,VENTURE,12000,9.63,0,0.07,4,N
25,142800,9,MORTGAGE,F,MEDICAL,10000,18.25,1,0.06,4,N
23,14664,0,MORTGAGE,C,DEBTCONSOLIDATION,6000,,1,0.41,4,N
24,87000,8,RENT,D,HOMEIMPROVEMENT,25000,14.84,0,0.29,3,N
24,75000,0,RENT,E,VENTURE,25000,14.7,1,0.33,3,Y
23,76000,7,RENT,D,DEBTCONSOLIDATION,25000,16.02,1,0.33,4,N
23,66215,1,RENT,D,MEDICAL,25000,15.37,1,0.32,2,Y
25,90000,9,RENT,B,MEDICAL,25000,10.99,0,0.28,4,N
21,15000,0,OWN,A,HOMEIMPROVEMENT,6200,7.9,1,0.41,2,N
26,180000,2,OWN,B,PERSONAL,25000,10.99,0,0.14,4,N
24,180000,8,OWN,B,EDUCATION,21000,11.48,0,0.12,3,N
25,180000,9,OWN,C,MEDICAL,20000,14.26,0,0.11,4,Y
26,180000,0,OWN,A,HOMEIMPROVEMENT,10000,8,0,0.06,4,N
25,180000,3,MORTGAGE,B,VENTURE,9950,11.26,0,0.06,2,N
23,15000,7,OWN,B,MEDICAL,4475,,1,0.3,4,N
23,78000,2,RENT,D,VENTURE,25000,16.32,1,0.32,3,Y
25,66300,3,RENT,E,MEDICAL,25000,17.93,1,0.32,4,Y
23,90000,0,RENT,B,DEBTCONSOLIDATION,25000,11.36,0,0.28,3,N
24,79000,9,RENT,D,DEBTCONSOLIDATION,25000,14.96,1,0.32,4,Y
24,91800,4,RENT,C,PERSONAL,25000,13.43,0,0.27,3,Y
25,92000,6,RENT,B,HOMEIMPROVEMENT,25000,12.69,0,0.27,3,N
24,92000,1,RENT,C,VENTURE,25000,12.73,0,0.27,4,Y
23,93600,3,RENT,D,VENTURE,25000,15.21,0,0.27,4,N
23,15000,1,MORTGAGE,C,MEDICAL,1750,12.68,0,0.12,3,Y
23,70550,3,RENT,F,MEDICAL,25000,19.04,1,0.3,4,Y
25,83800,2,RENT,D,DEBTCONSOLIDATION,25000,15.95,1,0.3,3,Y
26,175000,3,MORTGAGE,A,VENTURE,2600,8.9,0,0.01,4,N
25,175000,10,MORTGAGE,A,HOMEIMPROVEMENT,8000,7.9,0,0.05,2,N
22,175000,6,MORTGAGE,B,EDUCATION,18000,,0,0.1,2,N
23,175000,8,MORTGAGE,B,PERSONAL,21000,11.99,0,0.12,3,N
23,15000,4,OWN,C,DEBTCONSOLIDATION,4000,13.98,1,0.27,4,N
23,15000,4,OWN,B,VENTURE,4600,10.99,1,0.31,2,N
22,88000,6,RENT,D,DEBTCONSOLIDATION,25000,15.58,1,0.28,2,Y
25,74800,2,RENT,B,MEDICAL,25000,10.99,1,0.28,2,N
25,88000,0,RENT,D,VENTURE,25000,14.96,1,0.28,4,N
25,15000,2,OWN,D,HOMEIMPROVEMENT,1750,15.31,0,0.12,4,Y
26,88000,2,RENT,D,VENTURE,25000,15.65,1,0.28,3,N
25,100000,1,RENT,B,VENTURE,25000,9.33,0,0.25,4,N
23,15000,0,MORTGAGE,C,PERSONAL,3600,13.47,1,0.24,4,N
24,102400,8,RENT,B,PERSONAL,25000,10.36,0,0.24,3,N
24,92000,1,RENT,E,HOMEIMPROVEMENT,25000,16.77,1,0.27,4,Y
23,93000,0,RENT,D,DEBTCONSOLIDATION,25000,14.59,1,0.27,2,Y
22,175000,6,RENT,C,VENTURE,3500,11.91,0,0.02,2,Y
23,175000,3,MORTGAGE,A,EDUCATION,7200,8.38,0,0.04,3,N
25,174708,9,RENT,B,VENTURE,9000,10.59,0,0.05,3,N
25,174000,2,MORTGAGE,C,DEBTCONSOLIDATION,8800,14.27,0,0.05,3,N
26,174000,8,RENT,B,DEBTCONSOLIDATION,12000,12.53,0,0.07,4,N
25,162000,5,MORTGAGE,E,DEBTCONSOLIDATION,25000,16,1,0.15,3,Y
26,173467,10,MORTGAGE,B,VENTURE,10000,11.71,0,0.06,4,N
21,15000,0,OWN,C,HOMEIMPROVEMENT,3175,11.54,1,0.21,3,Y
25,96000,2,RENT,E,HOMEIMPROVEMENT,25000,15.68,1,0.26,4,Y
21,15120,0,MORTGAGE,B,EDUCATION,1500,10.59,0,0.1,2,N
24,97908,8,RENT,D,HOMEIMPROVEMENT,25000,12.61,1,0.26,2,Y
26,110000,3,RENT,C,PERSONAL,25000,,0,0.23,2,Y
23,15204,7,MORTGAGE,A,PERSONAL,2800,8.49,1,0.18,3,N
25,159600,0,RENT,D,PERSONAL,30000,17.27,1,0.19,4,Y
24,171500,6,RENT,A,DEBTCONSOLIDATION,18000,8.9,0,0.1,4,N
25,170004,3,MORTGAGE,B,MEDICAL,10000,11.11,0,0.06,4,N
24,158004,0,RENT,D,HOMEIMPROVEMENT,25000,14.59,1,0.16,2,Y
26,170000,0,RENT,B,VENTURE,13000,12.42,0,0.08,3,N
24,83300,0,RENT,D,MEDICAL,25000,,1,0.26,2,N
24,110000,7,RENT,D,HOMEIMPROVEMENT,25000,15.7,0,0.23,2,Y
22,15360,7,OWN,B,HOMEIMPROVEMENT,2500,12.53,1,0.16,3,N
25,134300,3,RENT,D,MEDICAL,5000,16.49,1,0.03,2,N
25,170000,2,MORTGAGE,A,EDUCATION,20000,7.49,0,0.12,2,N
22,100580,6,RENT,D,DEBTCONSOLIDATION,25000,14.96,1,0.25,2,Y
25,113000,7,RENT,C,MEDICAL,25000,12.73,0,0.22,4,Y
24,120000,8,RENT,B,EDUCATION,25000,10.65,0,0.21,4,N
25,120000,6,RENT,B,MEDICAL,25000,10.74,0,0.21,2,N
23,120000,7,RENT,B,EDUCATION,25000,9.99,0,0.21,2,N
24,91800,5,RENT,D,MEDICAL,25000,15.33,1,0.23,2,Y
21,15600,5,OWN,A,VENTURE,1000,7.29,0,0.06,4,N
26,108000,2,RENT,D,PERSONAL,25000,15.05,1,0.23,3,N
26,129996,6,RENT,B,PERSONAL,25000,10.75,0,0.19,3,N
23,130000,4,RENT,D,EDUCATION,25000,16.02,0,0.19,2,Y
23,130000,7,RENT,B,VENTURE,25000,11.49,0,0.19,4,N
25,170000,4,OWN,B,EDUCATION,20000,12.53,0,0.12,4,N
26,170000,0,MORTGAGE,C,VENTURE,12000,13.57,0,0.07,2,Y
22,169000,1,RENT,B,PERSONAL,14000,11.14,0,0.08,3,N
26,168750,10,RENT,C,MEDICAL,24250,12.87,0,0.14,3,Y
23,168600,3,RENT,B,EDUCATION,20000,11.58,0,0.12,3,N
24,168288,5,RENT,B,HOMEIMPROVEMENT,1800,11.12,0,0.01,3,N
25,168000,2,MORTGAGE,B,PERSONAL,35000,10.65,0,0.21,2,N
24,133300,6,RENT,B,DEBTCONSOLIDATION,25000,10.37,0,0.19,2,N
24,15600,5,OWN,A,HOMEIMPROVEMENT,3300,6.39,1,0.21,4,N
24,134000,8,RENT,D,PERSONAL,25000,16.07,0,0.19,3,Y
25,134000,7,RENT,B,MEDICAL,25000,10.62,0,0.19,2,N
25,15600,0,OWN,F,VENTURE,3200,18.09,1,0.21,2,N
25,135000,5,RENT,B,EDUCATION,25000,11.36,0,0.19,4,N
26,135660,10,RENT,B,DEBTCONSOLIDATION,25000,12.53,0,0.18,4,N
25,145000,0,RENT,B,EDUCATION,25000,9.99,0,0.17,4,N
23,150000,4,RENT,B,EDUCATION,25000,10.36,0,0.17,3,N
23,165000,3,MORTGAGE,A,EDUCATION,9600,5.99,0,0.06,3,N
22,153000,5,MORTGAGE,D,DEBTCONSOLIDATION,24000,15.62,1,0.16,2,Y
